feature,avg_anova_pval,avg_kw_pval,anova_sig_all,kw_sig_all,sig_folds_anova,sig_folds_kw
eeg_97,6.560715434571952e-15,3.119975586993402e-26,True,True,5,5
eeg_54,7.173970595044372e-15,3.935046210968128e-20,True,True,5,5
eeg_290,1.3169906905116848e-14,2.9892756977566223e-19,True,True,5,5
eeg_43,1.3731271189767526e-14,2.193952375055127e-28,True,True,5,5
eeg_13,2.0893266879626798e-14,3.4600011374940465e-18,True,True,5,5
eeg_25,2.3515585612596796e-14,3.090645647880963e-33,True,True,5,5
eeg_179,2.5097587431438026e-14,8.912076981787387e-22,True,True,5,5
eeg_48,2.744011622037957e-14,1.601629894420325e-29,True,True,5,5
eeg_162,2.757078335070151e-14,8.575313898494878e-36,True,True,5,5
eeg_197,2.8322661356624647e-14,1.2778494326752502e-38,True,True,5,5
eeg_42,3.9532063214744e-14,7.150079238108309e-22,True,True,5,5
eeg_242,4.6237021844161645e-14,1.0770089596232009e-39,True,True,5,5
eeg_168,5.493359727655185e-14,1.8013942737966275e-23,True,True,5,5
eeg_170,6.953283854781948e-14,1.3008990262359521e-24,True,True,5,5
eeg_277,7.573151645174623e-14,5.645888411554407e-41,True,True,5,5
eeg_247,9.650714807232159e-14,2.438494267887713e-42,True,True,5,5
eeg_101,9.854960013707923e-14,1.4875349717124365e-17,True,True,5,5
eeg_116,1.2409813478063508e-13,1.5505932916431956e-52,True,True,5,5
eeg_12,1.359055829246513e-13,2.477924935298195e-20,True,True,5,5
eeg_285,2.416429433615895e-13,1.9083997074148104e-17,True,True,5,5
eeg_282,2.556148136931277e-13,2.9936314688003964e-36,True,True,5,5
eeg_198,3.2494566047652206e-13,1.2470220511682671e-14,True,True,5,5
eeg_14,3.251110748986198e-13,8.510432112202988e-15,True,True,5,5
eeg_113,3.296378526183602e-13,2.8464484617865167e-28,True,True,5,5
eeg_22,3.524349310623999e-13,1.3732730735826081e-21,True,True,5,5
eeg_213,4.24405780824243e-13,7.685404987988292e-26,True,True,5,5
eeg_81,4.799277259656024e-13,1.0796174976616612e-24,True,True,5,5
eeg_297,5.070138955587997e-13,3.549885779143584e-27,True,True,5,5
eeg_187,5.420049912341114e-13,1.1521829456486175e-14,True,True,5,5
eeg_202,5.463892506613473e-13,5.927193115763129e-34,True,True,5,5
eeg_2,7.008588076350866e-13,4.381366936242774e-16,True,True,5,5
